year,team0,team1,seed,wins,losses,winp,cwins,closses,cwinp,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,result
2003,Central Michigan,Creighton,5,-3,1,-0.041999999999999926,-1,1,-0.05499999999999994,-201.0,-1.3710000000000093,-131.0,-293.0,0.009000000000000008,-52.0,-125.0,-0.006000000000000005,116.0,89.0,0.07300000000000006,-43.0,-0.7329999999999988,-71.0,-0.8569999999999993,-115.0,-1.6199999999999974,-73.0,-1.2720000000000002,-59.0,-1.358999999999999,-31.0,-0.7110000000000003,101.0,4.106,53.0,2.828000000000003,0
2003,Creighton,Central Michigan,-5,3,-1,0.041999999999999926,1,-1,0.05499999999999994,201.0,1.3710000000000093,131.0,293.0,-0.009000000000000008,52.0,125.0,0.006000000000000005,-116.0,-89.0,-0.07300000000000006,43.0,0.7329999999999988,71.0,0.8569999999999993,115.0,1.6199999999999974,73.0,1.2720000000000002,59.0,1.358999999999999,31.0,0.7110000000000003,-101.0,-4.106,-53.0,-2.828000000000003,1
2003,Duke,Colorado State,-11,5,-7,0.20600000000000007,6,-4,0.33099999999999996,66.0,7.185999999999993,-37.0,132.0,-0.056999999999999995,86.0,249.0,-0.007000000000000006,54.0,58.0,0.016000000000000014,21.0,1.3940000000000001,-60.0,-0.5079999999999991,-38.0,0.919000000000004,-91.0,-1.9789999999999992,79.0,3.0,9.0,0.6020000000000003,-111.0,-2.597999999999999,-25.0,0.5450000000000017,0
2003,Colorado State,Duke,11,-5,7,-0.20600000000000007,-6,4,-0.33099999999999996,-66.0,-7.185999999999993,37.0,-132.0,0.056999999999999995,-86.0,-249.0,0.007000000000000006,-54.0,-58.0,-0.016000000000000014,-21.0,-1.3940000000000001,60.0,0.5079999999999991,38.0,-0.919000000000004,91.0,1.9789999999999992,-79.0,-3.0,-9.0,-0.6020000000000003,111.0,2.597999999999999,25.0,-0.5450000000000017,1
2003,Arizona State,Memphis,3,-2,3,-0.09099999999999997,-1,3,-0.139,143.0,2.2830000000000013,67.0,-30.0,0.045999999999999985,-83.0,-206.0,-0.02799999999999997,93.0,123.0,0.016000000000000014,-18.0,-1.0259999999999998,-68.0,-3.1020000000000003,-86.0,-4.128,-5.0,-0.7209999999999983,-55.0,-2.0789999999999997,-20.0,-0.8389999999999995,18.0,0.14300000000000068,46.0,0.9149999999999991,0
2003,Memphis,Arizona State,-3,2,-3,0.09099999999999997,1,-3,0.139,-143.0,-2.2830000000000013,-67.0,30.0,-0.045999999999999985,83.0,206.0,0.02799999999999997,-93.0,-123.0,-0.016000000000000014,18.0,1.0259999999999998,68.0,3.1020000000000003,86.0,4.128,5.0,0.7209999999999983,55.0,2.0789999999999997,20.0,0.8389999999999995,-18.0,-0.14300000000000068,-46.0,-0.9149999999999991,1
2003,Kansas,Utah State,-13,1,-2,0.05600000000000005,2,-4,0.20799999999999996,514.0,18.733999999999995,211.0,336.0,0.02799999999999997,24.0,78.0,-0.006999999999999951,66.0,139.0,-0.041999999999999926,44.0,1.7889999999999997,161.0,5.880000000000003,204.0,7.6370000000000005,91.0,3.3980000000000015,163.0,5.422,95.0,3.133,83.0,3.069000000000001,19.0,1.1240000000000006,0
2003,Utah State,Kansas,13,-1,2,-0.05600000000000005,-2,4,-0.20799999999999996,-514.0,-18.733999999999995,-211.0,-336.0,-0.02799999999999997,-24.0,-78.0,0.006999999999999951,-66.0,-139.0,0.041999999999999926,-44.0,-1.7889999999999997,-161.0,-5.880000000000003,-204.0,-7.6370000000000005,-91.0,-3.3980000000000015,-163.0,-5.422,-95.0,-3.133,-83.0,-3.069000000000001,-19.0,-1.1240000000000006,1
2003,Arizona,Gonzaga,-8,1,-4,0.119,5,-1,0.08699999999999997,-3.0,8.149000000000001,43.0,122.0,-0.007999999999999952,-25.0,-27.0,-0.027000000000000024,-60.0,-62.0,-0.02200000000000002,66.0,3.5150000000000006,7.0,2.8279999999999994,72.0,6.311,5.0,1.8649999999999984,29.0,1.7649999999999997,9.0,0.6980000000000004,-31.0,0.42400000000000126,-81.0,-0.8949999999999996,0
2003,Gonzaga,Arizona,8,-1,4,-0.119,-5,1,-0.08699999999999997,3.0,-8.149000000000001,-43.0,-122.0,0.007999999999999952,25.0,27.0,0.027000000000000024,60.0,62.0,0.02200000000000002,-66.0,-3.5150000000000006,-7.0,-2.8279999999999994,-72.0,-6.311,-5.0,-1.8649999999999984,-29.0,-1.7649999999999997,-9.0,-0.6980000000000004,31.0,-0.42400000000000126,81.0,0.8949999999999996,1
